사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019100900100392,2019년 10월 9일 16시,수요일,서울특별시 노원구 상계동,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,70세,중상,승용,남,46세,상해없음
2019100900100394,2019년 10월 9일 16시,수요일,서울특별시 도봉구 쌍문동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,60세,상해없음,보행자,여,49세,경상
2019100900100518,2019년 10월 9일 19시,수요일,서울특별시 노원구 상계동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,49세,경상,승용,여,37세,상해없음
2019101000100050,2019년 10월 10일 05시,목요일,서울특별시 송파구 삼전동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,60세,중상,승용,남,67세,상해없음
2019101000100114,2019년 10월 10일 08시,목요일,서울특별시 양천구 목동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,자전거,남,30세,경상,승용,여,31세,상해없음
2019101000100173,2019년 10월 10일 09시,목요일,서울특별시 금천구 시흥동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,흐림,교차로 - 교차로횡단보도내,자전거,남,21세,상해없음,보행자,여,29세,경상
2019101000100195,2019년 10월 10일 10시,목요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 기타,맑음,교차로 - 교차로횡단보도내,자전거,남,81세,상해없음,보행자,여,78세,경상
2019101000100479,2019년 10월 10일 17시,목요일,서울특별시 은평구 증산동,중상사고,0,1,2,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,남,13세,경상,보행자,남,8세,중상
2019101000100520,2019년 10월 10일 18시,목요일,서울특별시 마포구 아현동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,35세,상해없음,보행자,여,23세,경상
2019101000100521,2019년 10월 10일 18시,목요일,서울특별시 영등포구 영등포동5가,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,59세,경상,승용,남,71세,상해없음
2019101100100053,2019년 10월 11일 01시,금요일,서울특별시 강서구 화곡동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,55세,부상신고,이륜,남,30세,상해없음
2019101100100356,2019년 10월 11일 14시,금요일,서울특별시 송파구 잠실동,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,39세,경상,승용,남,29세,기타불명
2019101100100436,2019년 10월 11일 16시,금요일,서울특별시 강북구 우이동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,77세,부상신고,승합,남,49세,상해없음
2019101100100495,2019년 10월 11일 17시,금요일,서울특별시 구로구 구로동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,18세,부상신고,승용,남,63세,상해없음
2019101100100785,2019년 10월 11일 23시,금요일,서울특별시 양천구 신정동,부상신고사고,0,0,0,1,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,56세,부상신고,,,,
2019101200100082,2019년 10월 12일 04시,토요일,서울특별시 마포구 성산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,27세,상해없음,승용,남,37세,경상
2019101200100336,2019년 10월 12일 13시,토요일,서울특별시 영등포구 당산동6가,중상사고,0,1,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,여,55세,경상,자전거,여,27세,중상
2019101200100438,2019년 10월 12일 15시,토요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,여,43세,기타불명,보행자,여,7세,경상
2019101200100440,2019년 10월 12일 15시,토요일,서울특별시 구로구 신도림동,부상신고사고,0,0,0,1,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,21세,부상신고,승용,여,30세,상해없음
2019101200100634,2019년 10월 12일 19시,토요일,서울특별시 도봉구 방학동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,포장 - 건조,맑음,단일로 - 기타,자전거,여,32세,상해없음,이륜,남,17세,경상
2019101300100085,2019년 10월 13일 06시,일요일,서울특별시 강동구 성내동,경상사고,0,0,1,0,차대차 - 기타,기타,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,23세,경상,자전거,남,39세,상해없음
2019101300100120,2019년 10월 13일 09시,일요일,서울특별시 송파구 잠실동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,53세,상해없음,보행자,여,62세,경상
2019101300100210,2019년 10월 13일 13시,일요일,서울특별시 관악구 신림동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,80세,경상,승용,남,75세,상해없음
2019101300100241,2019년 10월 13일 14시,일요일,서울특별시 송파구 가락동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,18세,기타불명,자전거,남,11세,부상신고
2019101300100242,2019년 10월 13일 14시,일요일,서울특별시 송파구 신천동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,26세,상해없음,자전거,남,37세,경상
2019101300100286,2019년 10월 13일 15시,일요일,서울특별시 송파구 잠실동,경상사고,0,0,1,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,27세,부상신고,자전거,남,65세,경상
2019101300100320,2019년 10월 13일 16시,일요일,서울특별시 중랑구 면목동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,22세,상해없음,자전거,남,69세,상해없음
2019101400100111,2019년 10월 14일 08시,월요일,서울특별시 영등포구 신길동,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,단일로 - 기타,자전거,여,37세,상해없음,보행자,남,27세,경상
2019101400100319,2019년 10월 14일 13시,월요일,서울특별시 구로구 구로동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,자전거,여,61세,경상,승용,남,35세,상해없음
2019101400100356,2019년 10월 14일 14시,월요일,서울특별시 마포구 망원동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,65세,경상,승용,여,59세,기타불명
2019101400100436,2019년 10월 14일 16시,월요일,서울특별시 영등포구 문래동3가,부상신고사고,0,0,0,1,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,여,65세,부상신고,승용,여,69세,상해없음
2019101400100442,2019년 10월 14일 16시,월요일,서울특별시 노원구 중계동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,자전거,남,47세,상해없음,보행자,여,54세,경상
2019101400100620,2019년 10월 14일 19시,월요일,서울특별시 동작구 대방동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,20세,상해없음,자전거,남,39세,경상
