사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020052200100657,2020년 5월 22일 22시,금요일,서울특별시 강남구 대치동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,27세,상해없음,자전거,남,11세,중상
2020052300100134,2020년 5월 23일 10시,토요일,서울특별시 마포구 하중동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,40세,중상,자전거,남,28세,상해없음
2020052300100163,2020년 5월 23일 11시,토요일,서울특별시 송파구 풍납동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,53세,상해없음,자전거,여,51세,중상
2020052300100218,2020년 5월 23일 12시,토요일,서울특별시 강남구 수서동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,59세,경상,자전거,남,26세,상해없음
2020052300100262,2020년 5월 23일 13시,토요일,서울특별시 송파구 송파동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,49세,상해없음,자전거,여,76세,중상
2020052300100309,2020년 5월 23일 14시,토요일,서울특별시 송파구 풍납동,경상사고,0,0,1,0,차대차 - 측면충돌,불법유턴,포장 - 건조,맑음,단일로 - 기타,승용,남,32세,상해없음,자전거,남,43세,경상
2020052300100377,2020년 5월 23일 16시,토요일,서울특별시 영등포구 여의도동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,남,45세,부상신고,자전거,남,44세,상해없음
2020052300100417,2020년 5월 23일 17시,토요일,서울특별시 마포구 망원동,중상사고,0,1,0,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,원동기,남,20세,상해없음,자전거,여,47세,중상
2020052300100418,2020년 5월 23일 17시,토요일,서울특별시 마포구 서교동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,자전거,남,16세,중상
2020052300100419,2020년 5월 23일 17시,토요일,서울특별시 마포구 성산동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,남,63세,상해없음,자전거,남,44세,중상
2020052300100463,2020년 5월 23일 18시,토요일,서울특별시 성북구 삼선동5가,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,56세,상해없음,자전거,여,9세,중상
2020052300100547,2020년 5월 23일 21시,토요일,서울특별시 중구 태평로1가,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,45세,상해없음,자전거,남,40세,경상
2020052400100195,2020년 5월 24일 13시,일요일,서울특별시 중랑구 상봉동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,23세,상해없음,자전거,남,38세,경상
2020052400100260,2020년 5월 24일 15시,일요일,서울특별시 송파구 풍납동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,42세,상해없음,자전거,남,62세,경상
2020052400100308,2020년 5월 24일 17시,일요일,서울특별시 동작구 본동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,39세,상해없음,자전거,여,25세,경상
2020052400100338,2020년 5월 24일 18시,일요일,서울특별시 구로구 구로동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,기타 - 기타,자전거,기타불명,미분류,기타불명,자전거,남,85세,경상
2020052400100339,2020년 5월 24일 18시,일요일,서울특별시 서초구 잠원동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,여,24세,경상,자전거,여,43세,경상
2020052400100376,2020년 5월 24일 19시,일요일,서울특별시 동작구 대방동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,원동기,남,18세,상해없음,자전거,남,26세,경상
2020052500100150,2020년 5월 25일 10시,월요일,서울특별시 동작구 본동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,28세,상해없음,자전거,여,26세,경상
2020052500100216,2020년 5월 25일 12시,월요일,서울특별시 강동구 길동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,자전거,여,64세,경상
2020052500100391,2020년 5월 25일 17시,월요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,73세,중상,자전거,남,45세,상해없음
2020052500100484,2020년 5월 25일 19시,월요일,서울특별시 서초구 반포동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,남,61세,상해없음,자전거,여,25세,경상
2020052500100563,2020년 5월 25일 22시,월요일,서울특별시 영등포구 여의도동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,25세,경상,자전거,여,31세,경상
2020052500100564,2020년 5월 25일 22시,월요일,서울특별시 동작구 본동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,49세,상해없음,자전거,남,35세,중상
2020052500100565,2020년 5월 25일 22시,월요일,서울특별시 강서구 방화동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,30세,상해없음,자전거,남,30세,경상
2020052500100584,2020년 5월 25일 23시,월요일,서울특별시 동대문구 청량리동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,자전거,남,59세,중상
2020052600100053,2020년 5월 26일 06시,화요일,서울특별시 성북구 안암동5가,중상사고,0,1,0,0,차대차 - 기타,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,남,51세,상해없음,자전거,남,25세,중상
2020052600100188,2020년 5월 26일 11시,화요일,서울특별시 송파구 송파동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,60세,상해없음,자전거,남,31세,경상
2020052600100189,2020년 5월 26일 11시,화요일,서울특별시 구로구 구로동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,59세,상해없음,자전거,남,57세,중상
2020052600100224,2020년 5월 26일 12시,화요일,서울특별시 성동구 성수동1가,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,38세,상해없음,자전거,남,66세,부상신고
